job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
linked_list_push_front,TRUE,4,736,3.21,3.09,0.01,0.00,0.00,3.27
linked_list_pop_back,TRUE,4,746,3.91,3.77,0.01,0.00,0.00,3.96
linked_list_pop_front,TRUE,4,750,3.89,3.74,0.01,0.00,0.00,3.94
hash_table_find,TRUE,5,1125,5.27,5.25,0.02,0.01,0.00,5.34
string_destroy,TRUE,5,171,0.09,0.07,0.00,0.00,0.11
string_destroy_secure,TRUE,5,321,0.48,0.45,0.00,0.00,0.00,0.50
priority_queue_clean_up,TRUE,27,166,0.02,0.01,0.00,0.00,0.04
priority_queue_init_static,TRUE,4,93,0.42,0.41,0.00,0.00,0.00,0.44
ring_buffer_clean_up,TRUE,5,222,0.26,0.24,0.00,0.00,0.00,0.28
priority_queue_size,TRUE,6,276,1.04,1.03,0.00,0.00,0.00,1.07
priority_queue_init_dynamic,TRUE,5,114,0.85,0.83,0.00,0.00,0.00,0.87
string_eq_ignore_case,TRUE,6,1517,3.47,3.42,0.00,0.00,0.00,3.50
string_eq_byte_buf,TRUE,6,786,4.60,4.58,0.00,0.00,0.00,4.63
priority_queue_capacity,TRUE,6,276,1.06,1.04,0.00,0.00,0.00,1.10
priority_queue_top,TRUE,6,278,1.06,1.04,0.00,0.00,0.00,1.10
string_new_from_array,TRUE,6,370,3.73,3.71,0.00,0.00,0.00,3.75
string_eq_byte_cursor,TRUE,5,767,4.73,4.72,0.00,0.00,0.00,4.75
string_eq_c_str,TRUE,6,1282,4.22,4.19,0.00,0.00,0.00,4.26
hash_table_init_bounded,TRUE,5,450,7.88,7.83,0.00,0.00,0.00,7.91
ring_buffer_init,TRUE,5,202,0.32,0.31,0.00,0.00,0.00,0.33
string_eq_byte_buf_ignore_case,TRUE,6,1137,5.05,5.02,0.00,0.00,0.00,5.08
byte_buf_eq2,TRUE,6,935,2.14,2.11,0.01,0.00,0.00,2.17
string_eq,TRUE,6,743,7.11,7.09,0.00,0.00,0.00,7.13
hash_callback_c_str_eq,TRUE,6,1398,10.70,10.68,0.01,0.01,0.00,10.75
string_compare,TRUE,6,795,7.54,7.51,0.00,0.00,0.00,7.57
string_eq_byte_cursor_ignore_case,TRUE,5,1484,7.73,7.69,0.00,0.00,0.00,7.76
hash_callback_string_eq,TRUE,6,1266,13.07,13.05,0.00,0.00,0.00,13.11
byte_buf_write_from_whole_string,TRUE,6,941,16.41,16.16,0.00,0.00,0.00,16.43
array_list_set_at,TRUE,7,943,20.00,19.78,0.00,0.00,0.00,20.03
priority_queue_pop,TRUE,7,670,4.07,4.03,0.02,0.00,0.00,4.15
priority_queue_remove,TRUE,7,720,5.61,5.56,0.02,0.00,0.00,5.67
linked_list_swap_contents,TRUE,4,2366,15.30,13.21,0.06,0.01,0.00,15.45
string_eq_c_str_ignore_case,TRUE,6,1883,15.31,15.27,0.00,0.00,0.00,15.35
string_new_from_string,TRUE,6,556,15.44,15.20,0.00,0.00,0.00,15.46
array_list_swap,TRUE,5,736,28.84,28.81,0.00,0.00,0.00,28.86
hash_table_eq,TRUE,6,7505,23.49,23.30,1.08,0.62,0.00,25.41
ring_buffer_release,TRUE,6,564,23.46,23.43,0.00,0.00,0.00,23.51
ring_buffer_acquire_up_to,TRUE,6,842,24.59,24.49,0.01,0.00,0.00,24.66
ring_buffer_buf_belongs_to_pool,TRUE,6,628,32.00,31.88,0.00,0.00,0.00,32.04
hash_iter_delete,TRUE,5,937,45.76,42.57,0.01,0.00,0.00,45.80
hash_table_put,TRUE,6,2062,54.92,52.65,0.02,0.02,0.00,55.01
priority_queue_s_swap,TRUE,6,2105,76.27,74.16,0.01,0.00,0.00,76.32
ring_buffer_acquire,TRUE,6,708,100.61,100.52,0.01,0.00,0.00,100.67
hash_table_remove,TRUE,5,1601,123.32,82.66,0.01,0.01,0.00,123.37
hash_table_create,TRUE,6,1974,133.36,132.49,0.02,0.02,0.00,133.46
priority_queue_s_sift_either,TRUE,6,2060,136.17,70.26,0.02,0.00,0.00,136.25
priority_queue_push,TRUE,10,2487,261.01,84.63,0.01,0.00,0.00,261.07
priority_queue_push_ref,TRUE,10,2497,543.03,209.86,0.01,0.00,0.00,543.10
