job_name,result,bmc_circuit_size,bmc_dag_size,bmc_time,bmc_solve_time,hybrid_smap_new,hybrid_smap_insert,hybrid_smap_hit,hybrid_smap_miss,hybrid_smap_abort,hybrid_smap_skip,hybrid_arm_skip_store,hybrid_arm_skip_memset,hybrid_arm_skip_memcpy,hybrid_ptr_norm,hybrid_rw_ite,opsem_simp_time,seahorn_total_time
hash_table_init_bounded,TRUE,11,1131,20.62,20.57,3,13,n/a,n/a,44,n/a,n/a,8,n/a,0.00,0.00,0.03,20.64
string_new_from_array,TRUE,12,838,13.24,13.22,1,14,n/a,n/a,18,n/a,n/a,n/a,8,0.00,0.00,0.01,13.26
array_list_erase2,TRUE,11,212,7.25,7.23,3,6,23,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,7.27
array_list_set_at2,TRUE,17,566,14.77,14.74,4,62,109,24,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,14.80
ring_buffer_acquire2,TRUE,18,395,10.56,10.52,9,37,71,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,10.61
hash_table_eq,TRUE,14,10886,28.27,25.55,n/a,n/a,n/a,n/a,n/a,n/a,301,n/a,n/a,1.03,1.35,0.15,30.19
byte_buf_write_from_whole_string,TRUE,14,2065,40.48,40.37,3,30,67,n/a,24,n/a,368,n/a,n/a,0.00,0.01,0.07,40.51
hash_table_put,TRUE,20,3749,37.15,19.79,3,16,n/a,n/a,41,n/a,225,n/a,14,0.14,17.07,0.10,37.24
ring_buffer_release2,TRUE,18,349,20.04,20.01,9,31,43,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,20.08
ring_buffer_buf_belongs_to_pool2,TRUE,18,309,22.01,22.00,6,24,28,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,22.04
ring_buffer_acquire_up_to2,TRUE,18,447,21.79,21.75,9,65,106,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,21.84
byte_buf_write_from_whole_string2,TRUE,14,2047,27.93,27.82,3,30,91,n/a,24,n/a,368,n/a,n/a,0.00,0.01,0.07,27.95
hash_iter_delete,TRUE,11,1266,44.17,44.10,n/a,n/a,n/a,n/a,n/a,n/a,71,n/a,n/a,0.00,0.01,0.03,44.21
linked_list_swap_contents,TRUE,30,9721,40.56,29.90,48,192,162,186,912,168,240,n/a,n/a,0.08,10.33,0.15,40.71
array_list_swap,TRUE,13,592,63.85,63.82,3,38,42,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,63.87
hash_table_create,TRUE,24,3367,59.53,59.36,3,16,n/a,n/a,53,n/a,172,n/a,14,0.00,0.01,0.10,59.63
