job_name,result,bmc_circuit_size,bmc_dag_size,bmc_time,bmc_solve_time,hybrid_build_arm,hybrid_load,hybrid_ptr_norm,hybrid_rw_ite,opsem_simp_time,seahorn_total_time
byte_buf_append_dynamic,TRUE,7,310,0.26,0.23,0.00,0.00,0.00,0.00,0.00,0.28
array_list_clear,TRUE,5,114,1.83,1.82,n/a,n/a,n/a,n/a,n/a,1.84
array_eq_c_str,TRUE,6,1120,1.69,1.66,0.00,0.01,0.00,0.00,0.01,1.72
byte_buf_from_array,TRUE,5,118,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03
array_list_ensure_capacity,TRUE,6,225,1.96,1.95,0.00,0.00,0.00,0.00,0.00,1.98
byte_buf_eq_c_str,TRUE,5,309,0.14,0.12,0.00,0.00,0.00,0.00,0.00,0.15
byte_buf_from_empty_array,TRUE,5,118,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03
byte_buf_eq_c_str_ignore_case,TRUE,5,309,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.14
byte_buf_append_with_lookup,TRUE,5,650,0.93,0.88,0.00,0.03,0.00,0.01,0.02,0.96
byte_buf_init,TRUE,6,79,0.02,0.01,n/a,n/a,n/a,n/a,n/a,0.04
array_list_pop_front,TRUE,5,287,2.30,2.25,0.00,0.03,0.00,0.01,0.02,2.33
array_eq,TRUE,6,1107,2.53,2.50,0.00,0.01,0.00,0.00,0.01,2.56
byte_buf_reserve,TRUE,6,130,0.04,0.03,n/a,n/a,n/a,n/a,0.00,0.05
array_eq_ignore_case,TRUE,6,2261,2.69,2.63,0.00,0.03,0.00,0.01,0.02,2.72
byte_buf_reserve_relative,TRUE,6,212,0.12,0.11,n/a,n/a,n/a,n/a,0.00,0.14
byte_buf_reset,TRUE,5,116,0.14,0.13,0.00,0.00,0.00,0.00,0.00,0.15
byte_buf_secure_zero,TRUE,5,145,0.12,0.11,0.00,0.00,0.00,0.00,0.00,0.14
byte_buf_init_copy_from_cursor,TRUE,6,230,0.51,0.49,0.00,0.00,0.00,0.00,0.00,0.53
byte_buf_write_be16,TRUE,5,150,0.08,0.06,0.00,0.00,0.00,0.00,0.00,0.10
byte_buf_write_be32,TRUE,5,150,0.07,0.05,0.00,0.00,0.00,0.00,0.00,0.10
byte_buf_write_be64,TRUE,5,150,0.07,0.05,0.00,0.00,0.00,0.00,0.00,0.09
array_list_pop_front_n,TRUE,5,338,3.43,3.36,0.00,0.05,0.00,0.02,0.03,3.46
array_list_swap_contents,TRUE,6,259,2.36,2.34,0.00,0.00,0.00,0.00,0.00,2.39
byte_buf_write,TRUE,5,296,0.76,0.73,0.00,0.02,0.00,0.01,0.01,0.78
array_list_push_front,TRUE,7,293,3.55,3.54,0.00,0.00,0.00,0.00,0.00,3.57
byte_buf_write_u8,TRUE,5,148,0.07,0.06,0.00,0.00,0.00,0.00,0.00,0.09
byte_buf_cat,TRUE,8,501,1.82,1.78,0.00,0.01,0.00,0.00,0.01,1.88
byte_cursor_advance,TRUE,4,195,0.24,0.23,0.00,0.00,0.00,0.00,0.00,0.26
byte_buf_from_c_str,TRUE,5,936,1.93,1.90,0.00,0.01,0.00,0.00,0.01,1.96
byte_cursor_advance_nospec,TRUE,4,226,0.38,0.37,0.00,0.00,0.00,0.00,0.00,0.40
array_list_erase,TRUE,5,249,4.15,4.13,0.00,0.00,0.00,0.00,0.00,4.18
byte_cursor_eq_c_str,TRUE,5,303,0.14,0.13,0.00,0.00,0.00,0.00,0.00,0.16
byte_cursor_eq_c_str_ignore_case,TRUE,5,303,0.15,0.13,0.00,0.00,0.00,0.00,0.00,0.16
byte_buf_eq,TRUE,6,1161,2.62,2.58,0.00,0.01,0.00,0.00,0.01,2.66
byte_cursor_from_array,TRUE,5,68,0.02,0.01,n/a,n/a,n/a,n/a,n/a,0.03
byte_cursor_from_buf,TRUE,5,147,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.07
array_list_push_back,TRUE,7,308,4.55,4.54,0.00,0.00,0.00,0.00,0.00,4.58
byte_buf_eq_ignore_case,TRUE,6,2374,2.65,2.61,0.00,0.02,0.00,0.00,0.01,2.69
byte_cursor_left_trim_pred,TRUE,4,349,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.06
byte_cursor_eq_byte_buf,TRUE,5,767,0.66,0.64,0.00,0.00,0.00,0.00,0.00,0.69
byte_cursor_compare_lexical,TRUE,4,763,1.21,1.18,0.00,0.00,0.00,0.00,0.01,1.24
byte_cursor_from_string,TRUE,5,541,0.41,0.38,0.00,0.01,0.00,0.00,0.01,0.43
byte_cursor_read_be16,TRUE,4,233,0.17,0.16,0.00,0.00,0.00,0.00,0.00,0.19
byte_cursor_read_be32,TRUE,4,264,0.19,0.17,0.00,0.00,0.00,0.00,0.00,0.21
byte_buf_write_from_whole_cursor,TRUE,5,386,1.86,1.82,0.00,0.03,0.00,0.01,0.02,1.89
byte_cursor_eq,TRUE,4,755,1.33,1.31,0.00,0.00,0.00,0.00,0.00,1.36
array_list_shrink_to_fit,TRUE,6,276,4.48,4.46,0.00,0.00,0.00,0.00,0.00,4.50
byte_cursor_satisfies_pred,TRUE,4,263,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.06
hash_ptr,TRUE,6,21,0.02,0.01,n/a,n/a,n/a,n/a,n/a,0.03
byte_cursor_read_u8,TRUE,5,311,0.16,0.12,0.00,0.01,0.00,0.01,0.01,0.18
byte_cursor_right_trim_pred,TRUE,4,331,0.11,0.09,0.00,0.00,0.00,0.00,0.00,0.13
